date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2023-06-30,ATHE,AUD,0001131343,2023-08-31,2023-08-31 09:15:39,2023,FY,15773783.0,0.0,15773783.0,8665704.0,2569522.0,39764.0,27048773.0,268863.0,0.0,0.0,0.0,0.0,0.0,0.0,268863.0,0.0,27317636.0,1716135.0,107177.0,27930.0,0.0,2558705.0,4382017.0,103207.0,0.0,0.0,19503.0,122710.0,0.0,210384.0,4504727.0,0.0,213971323.0,-195130889.0,3972475.0,0.0,22812909.0,22812909.0,27317636.0,0.0,27317636.0,0.0,210384.0,-15563399.0,https://www.sec.gov/Archives/edgar/data/1131343/000121390023072629/0001213900-23-072629-index.htm,https://www.sec.gov/Archives/edgar/data/1131343/000121390023072629/f20f2023_alteritytherap.htm
2022-06-30,ATHE,USD,0001131343,2022-08-31,2022-08-31 12:24:06,2022,FY,34806799.0,0.0,34806799.0,4725361.0,1601697.0,10232.0,41144089.0,218522.0,0.0,0.0,0.0,0.0,0.0,0.0,218522.0,0.0,41362611.0,2689098.0,57632.0,26924.0,3100604.0,-26924.0,5820410.0,59857.0,0.0,0.0,13753.0,73610.0,0.0,117489.0,5894020.0,0.0,213787061.0,-181884388.0,3565918.0,0.0,35468591.0,35468591.0,41362611.0,0.0,41362611.0,0.0,117489.0,-34689310.0,https://www.sec.gov/Archives/edgar/data/1131343/000121390022052529/0001213900-22-052529-index.htm,https://www.sec.gov/Archives/edgar/data/1131343/000121390022052529/f20f2022_alteritytherap.htm
2021-06-30,ATHE,USD,0001131343,2021-09-02,2021-09-02 06:34:33,2021,FY,28115516.0,0.0,28115516.0,4277677.0,1086391.0,9362.0,33488946.0,96808.0,0.0,0.0,0.0,0.0,0.0,0.0,96808.0,0.0,33585754.0,1448546.0,27746.0,0.0,377266.0,1214065.0,3067623.0,37903.0,0.0,0.0,9768.0,47671.0,0.0,65649.0,3115294.0,0.0,197447990.0,-169728414.0,2750884.0,0.0,30470460.0,30470460.0,33585754.0,0.0,33585754.0,0.0,65649.0,-28049867.0,https://www.sec.gov/Archives/edgar/data/1131343/000121390021046254/0001213900-21-046254-index.htm,https://www.sec.gov/Archives/edgar/data/1131343/000121390021046254/f20f2021_alteritytherap.htm
2020-06-30,ATHE,USD,0001131343,2020-09-15,2020-09-15 06:19:35,2020,FY,9196892.0,0.0,9196892.0,3458437.0,567884.0,10252.0,13233465.0,71369.0,0.0,0.0,0.0,0.0,0.0,0.0,71369.0,0.0,13304834.0,954033.0,32879.0,0.0,512641.0,1214969.0,2714522.0,868.0,0.0,0.0,41514.0,42382.0,0.0,33747.0,2756904.0,0.0,160703754.0,-151021945.0,866121.0,0.0,10547930.0,10547930.0,13304834.0,0.0,13304834.0,0.0,33747.0,-9163145.0,https://www.sec.gov/Archives/edgar/data/1131343/000121390020026557/0001213900-20-026557-index.htm,https://www.sec.gov/Archives/edgar/data/1131343/000121390020026557/f20f2020_alteritytherape.htm
2019-06-30,ATHE,USD,0001131343,2019-08-30,2019-08-30 11:49:55,2019,FY,14399904.0,0.0,14399904.0,4829497.0,621737.0,10032.0,19861170.0,48748.0,0.0,0.0,0.0,0.0,0.0,0.0,48748.0,0.0,19909918.0,1693885.0,0.0,0.0,0.0,1626284.0,3320169.0,0.0,0.0,0.0,34976.0,34976.0,0.0,0.0,3355145.0,0.0,156632636.0,-141236838.0,1158975.0,0.0,16554773.0,16554773.0,19909918.0,0.0,19909918.0,0.0,0.0,-14399904.0,https://www.sec.gov/Archives/edgar/data/1131343/000121390019016984/0001213900-19-016984-index.htm,https://www.sec.gov/Archives/edgar/data/1131343/000121390019016984/f20f2019_alteritytherape.htm
2022-12-31,ATHX,USD,0001368148,2023-04-03,2023-03-31 18:06:21,2022,FY,9038000.0,0.0,9038000.0,716000.0,0.0,5917000.0,15671000.0,12060000.0,0.0,0.0,0.0,0.0,0.0,0.0,12060000.0,0.0,27731000.0,37164000.0,746000.0,0.0,5199000.0,-746000.0,42363000.0,8685000.0,5199000.0,0.0,-4665000.0,9219000.0,0.0,8685000.0,51582000.0,0.0,18000.0,-655878000.0,0.0,632009000.0,-23851000.0,-23851000.0,27731000.0,0.0,27731000.0,0.0,9431000.0,393000.0,https://www.sec.gov/Archives/edgar/data/1368148/000136814823000025/0001368148-23-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000136814823000025/athx-20221231.htm
2021-12-31,ATHX,USD,0001368148,2022-03-15,2022-03-15 17:16:17,2021,FY,37407000.0,0.0,37407000.0,4414000.0,0.0,5711000.0,47532000.0,12652000.0,0.0,0.0,0.0,0.0,0.0,0.0,12652000.0,0.0,60184000.0,25510000.0,1011000.0,0.0,8539000.0,-1011000.0,34049000.0,9766000.0,5199000.0,0.0,-5199000.0,9766000.0,0.0,9766000.0,43815000.0,0.0,243000.0,-583344000.0,0.0,599470000.0,16369000.0,16369000.0,60184000.0,0.0,60184000.0,0.0,9766000.0,-27641000.0,https://www.sec.gov/Archives/edgar/data/1368148/000136814822000020/0001368148-22-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000136814822000020/athx-20211231.htm
2020-12-31,ATHX,USD,0001368148,2021-03-25,2021-03-25 16:38:23,2020,FY,51546000.0,0.0,51546000.0,89000.0,0.0,4924000.0,56559000.0,3155000.0,0.0,0.0,0.0,0.0,0.0,0.0,3155000.0,0.0,59714000.0,23086000.0,-11552000.0,0.0,65000.0,11552000.0,23151000.0,197000.0,5201000.0,-394000.0,197000.0,5201000.0,0.0,677000.0,28352000.0,0.0,202000.0,-496389000.0,0.0,527549000.0,31362000.0,31362000.0,59714000.0,0.0,59714000.0,0.0,677000.0,-50869000.0,https://www.sec.gov/Archives/edgar/data/1368148/000136814821000037/0001368148-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000136814821000037/athx-20201231.htm
2019-12-31,ATHX,USD,0001368148,2020-03-16,2020-03-16 16:40:08,2019,FY,35041000.0,0.0,35041000.0,962000.0,0.0,2781000.0,38784000.0,2882000.0,0.0,0.0,0.0,0.0,0.0,0.0,2882000.0,0.0,41666000.0,12992000.0,-3724000.0,0.0,65000.0,3724000.0,13057000.0,0.0,5338000.0,0.0,0.0,5338000.0,0.0,0.0,18395000.0,0.0,160000.0,-417624000.0,0.0,440735000.0,23271000.0,23271000.0,41666000.0,0.0,41666000.0,0.0,0.0,-35041000.0,https://www.sec.gov/Archives/edgar/data/1368148/000136814820000020/0001368148-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000136814820000020/athx-20191231x10k.htm
2018-12-31,ATHX,USD,0001368148,2019-03-15,2019-03-14 19:05:43,2018,FY,51059000.0,0.0,51059000.0,4990000.0,0.0,2679000.0,58728000.0,3002000.0,0.0,0.0,0.0,0.0,0.0,0.0,3002000.0,0.0,61730000.0,12801000.0,-3638000.0,0.0,2674000.0,3638000.0,15475000.0,0.0,3139000.0,0.0,0.0,3139000.0,0.0,0.0,18614000.0,0.0,144000.0,-373042000.0,-8307000.0,424321000.0,43116000.0,43116000.0,61730000.0,0.0,61730000.0,0.0,0.0,-51059000.0,https://www.sec.gov/Archives/edgar/data/1368148/000162828019002976/0001628280-19-002976-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000162828019002976/athx-20181231x10k.htm
2017-12-31,ATIS,USD,0000000000,2018-04-16,2018-04-16 17:18:58,2017,FY,839130.0,0.0,839130.0,861030.0,0.0,8616640.0,10316800.0,333500.0,5279210.0,5995980.0,11275190.0,364190.0,14340.0,81252140.0,93239360.0,0.0,103556160.0,1777360.0,6890.0,0.0,0.0,95883720.0,97667970.0,1977710.0,53418.0,14337.0,20724625.0,22770090.0,0.0,0.0,120438060.0,0.0,1086300.0,-85061590.0,-956320.0,68049700.0,-16881910.0,-16881910.0,103556150.0,0.0,103556150.0,364190.0,1984600.0,1145470.0,https://www.sec.gov/Archives/edgar/data/949721/000121390018004538/f10k2017_meridianwaste.htm,https://www.sec.gov/Archives/edgar/data/949721/000121390018004538/f10k2017_meridianwaste.htm
2016-12-31,ATIS,USD,0000000000,2017-04-17,2017-04-17 15:04:04,2016,FY,1562450.0,0.0,1562450.0,0.0,0.0,4543780.0,6106230.0,174600.0,0.0,386870.0,386870.0,0.0,0.0,42530930.0,43092400.0,0.0,49198630.0,1194900.0,359890.0,0.0,3431869.0,9886791.0,14873450.0,5224630.0,0.0,193482.0,36591398.0,42009510.0,0.0,0.0,56882960.0,0.0,42810.0,-45900580.0,0.0,38173440.0,-7684330.0,-7684330.0,49198630.0,0.0,49198630.0,0.0,5584520.0,4022070.0,https://www.sec.gov/Archives/edgar/data/949721/000121390017003860/f10k2016_meridianwaste.htm,https://www.sec.gov/Archives/edgar/data/949721/000121390017003860/f10k2016_meridianwaste.htm
